	Malot_ClotildeMartory	Flaubert_MadameBovary	Gaboriau_Lerouge	Maupassant_PierreJean	Aimard_BanditsArizona	Stolz_TresorNanette	Zola_Nana	sum
juillet	1.0	3.0	2.0	0.0	0.0	0.0	2.0	8.0
laissent	0.0	1.0	2.0	1.0	2.0	0.0	2.0	8.0
perd	1.0	1.0	4.0	0.0	0.0	2.0	0.0	8.0
passionnée	1.0	1.0	2.0	1.0	0.0	0.0	3.0	8.0
angles	0.0	5.0	1.0	0.0	0.0	0.0	2.0	8.0
étranglé	0.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0
partez	0.0	4.0	3.0	0.0	1.0	0.0	0.0	8.0
j’aurai	0.0	3.0	0.0	0.0	0.0	0.0	5.0	8.0
angle	2.0	4.0	0.0	0.0	1.0	0.0	1.0	8.0
balai	0.0	2.0	0.0	0.0	0.0	1.0	5.0	8.0
bouches	0.0	2.0	1.0	1.0	0.0	0.0	4.0	8.0
lestement	0.0	1.0	4.0	0.0	0.0	1.0	2.0	8.0
patrie	1.0	2.0	0.0	0.0	0.0	3.0	2.0	8.0
anglaise	0.0	3.0	1.0	0.0	1.0	0.0	3.0	8.0
enveloppa	1.0	1.0	2.0	0.0	2.0	1.0	1.0	8.0
comptais	1.0	0.0	6.0	1.0	0.0	0.0	0.0	8.0
baignoire	0.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0
sentimentale	0.0	5.0	0.0	1.0	0.0	0.0	2.0	8.0
entêtement	1.0	3.0	1.0	0.0	0.0	0.0	3.0	8.0
exquis	0.0	1.0	0.0	0.0	2.0	0.0	5.0	8.0
enveloppe	0.0	1.0	2.0	0.0	0.0	3.0	2.0	8.0
sentent	0.0	3.0	3.0	1.0	0.0	1.0	0.0	8.0
lançant	2.0	3.0	1.0	0.0	0.0	0.0	2.0	8.0
europe	1.0	0.0	3.0	0.0	4.0	0.0	0.0	8.0
bordure	0.0	7.0	1.0	0.0	0.0	0.0	0.0	8.0
voudras	0.0	0.0	0.0	2.0	0.0	1.0	5.0	8.0
paraît-il	1.0	0.0	1.0	1.0	5.0	0.0	0.0	8.0
trembler	1.0	4.0	2.0	0.0	0.0	0.0	1.0	8.0
perfection	1.0	1.0	1.0	0.0	3.0	1.0	1.0	8.0
existe	0.0	1.0	5.0	0.0	0.0	1.0	1.0	8.0
latin	0.0	3.0	2.0	1.0	0.0	1.0	1.0	8.0
penses	1.0	0.0	0.0	2.0	0.0	4.0	1.0	8.0
sergents	0.0	0.0	3.0	0.0	0.0	0.0	5.0	8.0
bouffée	0.0	3.0	1.0	0.0	0.0	0.0	4.0	8.0
pelotes	0.0	0.0	1.0	0.0	0.0	7.0	0.0	8.0
baisant	0.0	3.0	0.0	1.0	0.0	0.0	4.0	8.0
bontés	0.0	1.0	4.0	0.0	0.0	3.0	0.0	8.0
faiblement	1.0	3.0	1.0	1.0	0.0	0.0	2.0	8.0
pentes	0.0	1.0	0.0	0.0	7.0	0.0	0.0	8.0
estomac	0.0	0.0	4.0	0.0	1.0	2.0	1.0	8.0
sauvage	0.0	1.0	1.0	2.0	3.0	0.0	1.0	8.0
schmidt	0.0	0.0	8.0	0.0	0.0	0.0	0.0	8.0
sauté	0.0	1.0	3.0	1.0	0.0	0.0	3.0	8.0
baisser	2.0	0.0	2.0	1.0	0.0	0.0	3.0	8.0
patte	0.0	2.0	0.0	0.0	4.0	0.0	2.0	8.0
eusse	5.0	0.0	1.0	0.0	0.0	2.0	0.0	8.0
exprimait	0.0	0.0	6.0	0.0	0.0	1.0	1.0	8.0
tapait	0.0	1.0	0.0	0.0	0.0	0.0	7.0	8.0
partage	0.0	0.0	1.0	0.0	2.0	1.0	4.0	8.0
amenait	1.0	1.0	1.0	0.0	0.0	0.0	5.0	8.0
consentement	2.0	3.0	2.0	0.0	0.0	1.0	0.0	8.0
facture	0.0	5.0	1.0	0.0	2.0	0.0	0.0	8.0
entourée	1.0	1.0	2.0	0.0	1.0	2.0	1.0	8.0
voluptés	0.0	3.0	0.0	0.0	0.0	0.0	5.0	8.0
facultés	0.0	2.0	3.0	0.0	2.0	1.0	0.0	8.0
confusément	2.0	4.0	0.0	1.0	0.0	0.0	1.0	8.0
abandonnés	0.0	2.0	0.0	2.0	1.0	0.0	3.0	8.0
entouré	1.0	2.0	2.0	0.0	2.0	0.0	1.0	8.0
autorité	1.0	0.0	1.0	0.0	1.0	2.0	2.0	7.0
bienveillant	2.0	0.0	3.0	2.0	0.0	0.0	0.0	7.0
ruinée	0.0	2.0	1.0	0.0	1.0	2.0	1.0	7.0
détacher	1.0	5.0	0.0	0.0	0.0	0.0	1.0	7.0
subtil	0.0	2.0	3.0	2.0	0.0	0.0	0.0	7.0
moctekuzoma	0.0	0.0	0.0	0.0	7.0	0.0	0.0	7.0
béant	0.0	1.0	1.0	0.0	0.0	0.0	5.0	7.0
succession	0.0	3.0	4.0	0.0	0.0	0.0	0.0	7.0
levés	2.0	2.0	1.0	0.0	0.0	0.0	2.0	7.0
ruisseaux	0.0	2.0	0.0	0.0	2.0	0.0	3.0	7.0
béante	0.0	4.0	1.0	0.0	1.0	0.0	1.0	7.0
l’aîné	0.0	0.0	0.0	6.0	0.0	0.0	1.0	7.0
attachée	0.0	2.0	1.0	0.0	2.0	0.0	2.0	7.0
volant	0.0	4.0	0.0	0.0	0.0	0.0	3.0	7.0
champêtre	0.0	2.0	0.0	1.0	0.0	4.0	0.0	7.0
modestie	0.0	2.0	1.0	0.0	0.0	1.0	3.0	7.0
admira	0.0	1.0	2.0	2.0	0.0	2.0	0.0	7.0
admettre	4.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0
consultations	0.0	5.0	1.0	1.0	0.0	0.0	0.0	7.0
tendresses	0.0	0.0	1.0	2.0	0.0	1.0	3.0	7.0
pêcher	0.0	2.0	0.0	5.0	0.0	0.0	0.0	7.0
piquant	0.0	2.0	1.0	0.0	3.0	1.0	0.0	7.0
injuste	0.0	0.0	5.0	1.0	0.0	0.0	1.0	7.0
dirigea	1.0	2.0	1.0	2.0	0.0	0.0	1.0	7.0
s’entendait	0.0	6.0	0.0	0.0	0.0	0.0	1.0	7.0
antiquité	2.0	0.0	1.0	0.0	4.0	0.0	0.0	7.0
revit	0.0	3.0	1.0	0.0	1.0	1.0	1.0	7.0
gémissement	0.0	3.0	3.0	1.0	0.0	0.0	0.0	7.0
peints	0.0	3.0	0.0	0.0	4.0	0.0	0.0	7.0
quatre-vingt	0.0	0.0	4.0	0.0	1.0	0.0	2.0	7.0
laissée	0.0	2.0	3.0	0.0	1.0	1.0	0.0	7.0
acceptait	0.0	2.0	2.0	0.0	0.0	2.0	1.0	7.0
innombrables	0.0	3.0	1.0	1.0	1.0	0.0	1.0	7.0
éléments	0.0	1.0	2.0	0.0	1.0	2.0	1.0	7.0
désespérée	0.0	4.0	0.0	2.0	0.0	0.0	1.0	7.0
gênée	0.0	2.0	0.0	1.0	0.0	1.0	3.0	7.0
centaines	0.0	1.0	1.0	3.0	1.0	0.0	1.0	7.0
sauvages	0.0	1.0	2.0	0.0	3.0	0.0	1.0	7.0
quelques-unes	0.0	3.0	0.0	1.0	1.0	0.0	2.0	7.0
verrai	0.0	2.0	3.0	0.0	0.0	1.0	1.0	7.0
meublée	0.0	1.0	1.0	0.0	2.0	0.0	3.0	7.0
confrère	0.0	5.0	0.0	2.0	0.0	0.0	0.0	7.0
suffoquait	1.0	3.0	1.0	0.0	0.0	0.0	2.0	7.0
mission	0.0	1.0	4.0	0.0	1.0	0.0	1.0	7.0
désolait	1.0	0.0	2.0	0.0	1.0	0.0	3.0	7.0
éloignée	0.0	0.0	2.0	1.0	2.0	2.0	0.0	7.0
tendus	1.0	2.0	1.0	0.0	0.0	0.0	3.0	7.0
pénétré	1.0	0.0	2.0	0.0	2.0	0.0	2.0	7.0
pipes	1.0	3.0	0.0	1.0	2.0	0.0	0.0	7.0
éloquence	0.0	0.0	6.0	0.0	1.0	0.0	0.0	7.0
inquiets	0.0	2.0	0.0	2.0	1.0	0.0	2.0	7.0
guérison	0.0	4.0	1.0	0.0	0.0	2.0	0.0	7.0
envolée	0.0	1.0	1.0	0.0	0.0	0.0	5.0	7.0
vaudra	2.0	1.0	0.0	0.0	4.0	0.0	0.0	7.0
laisserai	0.0	0.0	2.0	0.0	2.0	2.0	1.0	7.0
élégance	0.0	0.0	0.0	0.0	3.0	2.0	2.0	7.0
substitution	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
pinçait	0.0	0.0	0.0	0.0	0.0	1.0	6.0	7.0
bijoutier	0.0	0.0	0.0	6.0	0.0	0.0	1.0	7.0
pêcheur	0.0	1.0	2.0	2.0	1.0	0.0	1.0	7.0
croquant	0.0	0.0	2.0	0.0	0.0	0.0	5.0	7.0
l’empêchait	0.0	2.0	0.0	1.0	0.0	0.0	4.0	7.0
pincé	0.0	0.0	1.0	0.0	0.0	0.0	6.0	7.0
grognant	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0
loisir	1.0	1.0	4.0	0.0	0.0	1.0	0.0	7.0
pyramides	0.0	4.0	0.0	1.0	1.0	1.0	0.0	7.0
duo	0.0	2.0	2.0	0.0	0.0	0.0	3.0	7.0
essoufflée	0.0	3.0	0.0	0.0	0.0	0.0	4.0	7.0
souveraine	1.0	0.0	0.0	0.0	0.0	0.0	6.0	7.0
préférence	0.0	1.0	0.0	4.0	1.0	1.0	0.0	7.0
adressé	0.0	0.0	3.0	1.0	1.0	0.0	2.0	7.0
beurre	0.0	3.0	0.0	0.0	0.0	3.0	1.0	7.0
réclamer	0.0	0.0	2.0	1.0	2.0	0.0	2.0	7.0
remercia	0.0	3.0	1.0	0.0	0.0	2.0	1.0	7.0
goguenard	1.0	0.0	1.0	0.0	1.0	0.0	4.0	7.0
bureaux	4.0	0.0	0.0	2.0	0.0	0.0	1.0	7.0
moustaches	0.0	3.0	0.0	2.0	0.0	0.0	2.0	7.0
savons	2.0	0.0	1.0	1.0	1.0	0.0	2.0	7.0
trentaine	0.0	0.0	1.0	0.0	5.0	0.0	1.0	7.0
tendaient	1.0	0.0	0.0	0.0	1.0	0.0	5.0	7.0
remarques	2.0	0.0	1.0	1.0	0.0	1.0	2.0	7.0
creuse	0.0	4.0	0.0	1.0	1.0	0.0	1.0	7.0
enfermer	1.0	2.0	1.0	0.0	1.0	2.0	0.0	7.0
mouillés	0.0	1.0	0.0	0.0	0.0	0.0	6.0	7.0
mouillée	0.0	2.0	2.0	1.0	1.0	0.0	1.0	7.0
creux	0.0	2.0	2.0	1.0	2.0	0.0	0.0	7.0
enfermées	0.0	2.0	0.0	1.0	1.0	0.0	3.0	7.0
placés	1.0	1.0	3.0	0.0	2.0	0.0	0.0	7.0
s’interrompant	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0
gifles	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0
précédente	0.0	1.0	2.0	2.0	0.0	0.0	2.0	7.0
dressaient	0.0	2.0	1.0	1.0	0.0	0.0	3.0	7.0
soutane	0.0	6.0	0.0	1.0	0.0	0.0	0.0	7.0
brûlis	0.0	0.0	0.0	0.0	7.0	0.0	0.0	7.0
réel	1.0	0.0	2.0	0.0	2.0	0.0	2.0	7.0
chauve	0.0	6.0	0.0	1.0	0.0	0.0	0.0	7.0
dresser	1.0	1.0	4.0	0.0	0.0	0.0	1.0	7.0
vi	0.0	3.0	1.0	0.0	1.0	1.0	1.0	7.0
estime	2.0	0.0	2.0	1.0	0.0	1.0	1.0	7.0
asseyez	0.0	0.0	3.0	0.0	0.0	2.0	2.0	7.0
pré	0.0	2.0	4.0	0.0	0.0	0.0	1.0	7.0
précieuse	0.0	0.0	1.0	0.0	5.0	1.0	0.0	7.0
v	0.0	3.0	1.0	0.0	1.0	1.0	1.0	7.0
souvenant	0.0	0.0	2.0	1.0	1.0	1.0	2.0	7.0
pointes	0.0	2.0	0.0	0.0	3.0	0.0	2.0	7.0
précipiter	0.0	2.0	3.0	0.0	0.0	1.0	1.0	7.0
ressentait	0.0	0.0	5.0	0.0	0.0	1.0	1.0	7.0
l’appelant	0.0	1.0	0.0	0.0	0.0	0.0	6.0	7.0
précise	3.0	1.0	0.0	2.0	0.0	0.0	1.0	7.0
passages	0.0	2.0	3.0	0.0	0.0	1.0	1.0	7.0
anéanti	2.0	1.0	4.0	0.0	0.0	0.0	0.0	7.0
d’acajou	0.0	3.0	0.0	0.0	0.0	0.0	4.0	7.0
détestait	0.0	3.0	2.0	0.0	0.0	0.0	2.0	7.0
lien	1.0	1.0	0.0	1.0	1.0	3.0	0.0	7.0
égoïste	0.0	2.0	1.0	0.0	1.0	3.0	0.0	7.0
ressembler	0.0	1.0	3.0	1.0	0.0	1.0	1.0	7.0
règles	1.0	3.0	1.0	0.0	0.0	1.0	1.0	7.0
s’expliquer	0.0	0.0	0.0	1.0	0.0	0.0	6.0	7.0
bien-aimée	0.0	1.0	6.0	0.0	0.0	0.0	0.0	7.0
chaos	0.0	0.0	0.0	1.0	4.0	1.0	1.0	7.0
détruire	0.0	1.0	0.0	1.0	1.0	0.0	4.0	7.0
puits	0.0	0.0	2.0	0.0	0.0	2.0	3.0	7.0
derozerays	0.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0
montrez	0.0	1.0	3.0	2.0	0.0	0.0	1.0	7.0
espèces	0.0	2.0	2.0	1.0	2.0	0.0	0.0	7.0
payant	0.0	0.0	1.0	1.0	0.0	0.0	5.0	7.0
paysages	0.0	3.0	1.0	1.0	0.0	0.0	2.0	7.0
insistait	2.0	0.0	0.0	0.0	0.0	1.0	4.0	7.0
admirer	0.0	0.0	5.0	0.0	1.0	0.0	1.0	7.0
grinçant	1.0	3.0	0.0	0.0	3.0	0.0	0.0	7.0
monstrueux	0.0	2.0	2.0	1.0	0.0	0.0	2.0	7.0
cristaux	0.0	1.0	2.0	0.0	0.0	0.0	4.0	7.0
cristi	0.0	0.0	1.0	6.0	0.0	0.0	0.0	7.0
grises	0.0	2.0	0.0	1.0	0.0	0.0	4.0	7.0
criminel	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
saintes	0.0	3.0	2.0	1.0	0.0	1.0	0.0	7.0
durent	1.0	0.0	0.0	0.0	0.0	0.0	6.0	7.0
torturer	0.0	2.0	1.0	2.0	2.0	0.0	0.0	7.0
confia	0.0	0.0	2.0	0.0	2.0	1.0	2.0	7.0
enflammée	0.0	2.0	1.0	0.0	0.0	0.0	4.0	7.0
instinctivement	1.0	1.0	3.0	0.0	0.0	2.0	0.0	7.0
espions	0.0	0.0	2.0	0.0	5.0	0.0	0.0	7.0
avaler	0.0	1.0	2.0	0.0	0.0	0.0	4.0	7.0
bibelots	0.0	0.0	0.0	1.0	0.0	0.0	6.0	7.0
anxieux	0.0	0.0	1.0	3.0	0.0	0.0	3.0	7.0
égaux	1.0	3.0	2.0	0.0	1.0	0.0	0.0	7.0
inspire	2.0	0.0	5.0	0.0	0.0	0.0	0.0	7.0
mordait	0.0	4.0	0.0	1.0	0.0	0.0	2.0	7.0
adorée	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
enfoncé	0.0	0.0	3.0	3.0	0.0	0.0	1.0	7.0
l’auteur	0.0	1.0	0.0	0.0	0.0	0.0	6.0	7.0
vasistas	0.0	6.0	1.0	0.0	0.0	0.0	0.0	7.0
dévoré	0.0	2.0	3.0	0.0	1.0	0.0	1.0	7.0
piège	0.0	0.0	4.0	1.0	1.0	0.0	1.0	7.0
s’habillait	0.0	3.0	0.0	0.0	0.0	0.0	4.0	7.0
paya	1.0	2.0	2.0	0.0	0.0	0.0	2.0	7.0
sanglotant	0.0	3.0	0.0	0.0	0.0	1.0	3.0	7.0
l’avant-veille	0.0	2.0	0.0	0.0	0.0	0.0	5.0	7.0
l’envahissait	0.0	3.0	0.0	0.0	0.0	0.0	4.0	7.0
pelisse	2.0	0.0	1.0	0.0	0.0	0.0	4.0	7.0
entrai	6.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0
cachaient	0.0	4.0	0.0	1.0	2.0	0.0	0.0	7.0
roches	0.0	0.0	0.0	6.0	0.0	0.0	1.0	7.0
cédé	1.0	3.0	2.0	0.0	0.0	0.0	1.0	7.0
rapprochait	0.0	1.0	1.0	0.0	1.0	2.0	2.0	7.0
malles	0.0	0.0	1.0	0.0	0.0	0.0	6.0	7.0
rapproché	1.0	1.0	2.0	1.0	2.0	0.0	0.0	7.0
entraient	0.0	3.0	0.0	0.0	1.0	0.0	3.0	7.0
images	0.0	2.0	1.0	0.0	0.0	2.0	2.0	7.0
célébrité	0.0	4.0	1.0	0.0	0.0	0.0	2.0	7.0
tâcherai	0.0	0.0	2.0	0.0	2.0	2.0	1.0	7.0
cédant	0.0	2.0	1.0	1.0	0.0	0.0	3.0	7.0
rasseoir	0.0	3.0	0.0	0.0	1.0	0.0	3.0	7.0
camisole	0.0	5.0	1.0	0.0	0.0	0.0	1.0	7.0
rassit	0.0	4.0	0.0	2.0	0.0	0.0	1.0	7.0
entassées	0.0	0.0	0.0	1.0	1.0	0.0	5.0	7.0
indiquait	0.0	1.0	1.0	1.0	1.0	0.0	3.0	7.0
entendaient	0.0	2.0	0.0	0.0	2.0	1.0	2.0	7.0
indifférentes	0.0	2.0	2.0	0.0	3.0	0.0	0.0	7.0
calèche	1.0	1.0	0.0	0.0	0.0	0.0	5.0	7.0
rivières	2.0	2.0	0.0	0.0	3.0	0.0	0.0	7.0
manchettes	0.0	3.0	1.0	0.0	0.0	3.0	0.0	7.0
entrain	0.0	0.0	0.0	0.0	3.0	4.0	0.0	7.0
séparés	1.0	3.0	2.0	0.0	1.0	0.0	0.0	7.0
personnelle	3.0	0.0	3.0	0.0	0.0	0.0	1.0	7.0
l’immense	0.0	1.0	0.0	3.0	0.0	0.0	3.0	7.0
usé	0.0	0.0	5.0	0.0	0.0	1.0	1.0	7.0
héroïsme	0.0	0.0	5.0	0.0	0.0	0.0	2.0	7.0
laque	0.0	0.0	1.0	0.0	0.0	0.0	6.0	7.0
épingle	0.0	4.0	1.0	0.0	0.0	1.0	1.0	7.0
hésitations	1.0	0.0	3.0	2.0	0.0	0.0	1.0	7.0
saluèrent	2.0	0.0	0.0	0.0	1.0	0.0	4.0	7.0
délices	0.0	0.0	5.0	0.0	0.0	1.0	1.0	7.0
délicates	0.0	2.0	3.0	0.0	0.0	2.0	0.0	7.0
hôtels	0.0	2.0	1.0	1.0	0.0	0.0	3.0	7.0
indisposé	2.0	0.0	5.0	0.0	0.0	0.0	0.0	7.0
rappelaient	1.0	2.0	3.0	0.0	0.0	0.0	1.0	7.0
accourant	0.0	2.0	1.0	2.0	2.0	0.0	0.0	7.0
redoutant	0.0	2.0	4.0	0.0	0.0	0.0	1.0	7.0
roide	0.0	2.0	4.0	0.0	0.0	1.0	0.0	7.0
rappelles	0.0	1.0	1.0	3.0	0.0	0.0	2.0	7.0
arrêtai	6.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0
l’inconnu	0.0	2.0	0.0	1.0	0.0	0.0	4.0	7.0
redoutables	0.0	1.0	2.0	2.0	2.0	0.0	0.0	7.0
mangea	0.0	3.0	1.0	2.0	0.0	0.0	1.0	7.0
indifférent	0.0	1.0	1.0	1.0	1.0	1.0	2.0	7.0
maintenir	2.0	0.0	0.0	1.0	2.0	0.0	2.0	7.0
rattraper	0.0	1.0	1.0	0.0	1.0	0.0	4.0	7.0
entoure	2.0	1.0	1.0	0.0	2.0	1.0	0.0	7.0
l’étoffe	0.0	4.0	0.0	0.0	0.0	0.0	3.0	7.0
riposta	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
défait	0.0	0.0	3.0	0.0	0.0	1.0	3.0	7.0
découragement	0.0	3.0	1.0	0.0	1.0	2.0	0.0	7.0
imprévue	0.0	0.0	3.0	3.0	0.0	0.0	1.0	7.0
l’éternel	0.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0
calculs	0.0	3.0	3.0	0.0	0.0	0.0	1.0	7.0
dédaigneusement	0.0	3.0	0.0	0.0	2.0	0.0	2.0	7.0
l’état	0.0	4.0	0.0	2.0	0.0	0.0	1.0	7.0
l’époque	0.0	3.0	0.0	1.0	0.0	0.0	3.0	7.0
accomplissait	2.0	1.0	0.0	0.0	1.0	3.0	0.0	7.0
s’arrêtèrent	0.0	3.0	0.0	0.0	0.0	0.0	4.0	7.0
impériale	0.0	0.0	1.0	0.0	1.0	0.0	5.0	7.0
sanglot	0.0	3.0	2.0	0.0	1.0	0.0	1.0	7.0
vocation	1.0	2.0	0.0	2.0	0.0	0.0	2.0	7.0
reconnaissante	1.0	0.0	1.0	1.0	0.0	4.0	0.0	7.0
l’ouverture	0.0	3.0	0.0	0.0	0.0	0.0	4.0	7.0
l’âge	0.0	3.0	0.0	1.0	0.0	0.0	3.0	7.0
dansaient	0.0	3.0	1.0	0.0	0.0	0.0	3.0	7.0
l’usage	0.0	5.0	0.0	0.0	0.0	0.0	2.0	7.0
imprudence	1.0	0.0	6.0	0.0	0.0	0.0	0.0	7.0
consentir	0.0	1.0	4.0	0.0	0.0	1.0	1.0	7.0
l’office	0.0	1.0	0.0	0.0	0.0	0.0	6.0	7.0
risqua	0.0	1.0	2.0	0.0	0.0	0.0	4.0	7.0
richelieu	1.0	0.0	2.0	0.0	0.0	0.0	4.0	7.0
entendent	0.0	1.0	1.0	0.0	4.0	1.0	0.0	7.0
indienne	0.0	1.0	0.0	0.0	6.0	0.0	0.0	7.0
accomplir	1.0	1.0	2.0	0.0	1.0	2.0	0.0	7.0
redevint	1.0	1.0	0.0	0.0	1.0	0.0	4.0	7.0
maigres	0.0	3.0	0.0	1.0	1.0	0.0	2.0	7.0
rival	0.0	1.0	4.0	0.0	0.0	0.0	2.0	7.0
indices	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
ôté	0.0	0.0	2.0	1.0	1.0	1.0	2.0	7.0
reculant	1.0	4.0	1.0	0.0	0.0	0.0	1.0	7.0
importante	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0
défier	0.0	1.0	5.0	0.0	0.0	0.0	1.0	7.0
machinistes	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0
tués	0.0	1.0	1.0	0.0	5.0	0.0	0.0	7.0
tirés	0.0	2.0	1.0	1.0	1.0	0.0	2.0	7.0
reata	0.0	0.0	0.0	0.0	7.0	0.0	0.0	7.0
l’ivresse	0.0	2.0	0.0	2.0	0.0	0.0	3.0	7.0
tribunaux	0.0	1.0	6.0	0.0	0.0	0.0	0.0	7.0
larivière	0.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0
veilleuse	0.0	2.0	1.0	0.0	0.0	0.0	4.0	7.0
accoutumée	1.0	0.0	0.0	1.0	0.0	3.0	2.0	7.0
habite	1.0	2.0	3.0	0.0	1.0	0.0	0.0	7.0
haussement	0.0	1.0	0.0	0.0	0.0	0.0	6.0	7.0
émus	0.0	1.0	3.0	1.0	0.0	1.0	1.0	7.0
conjectures	0.0	5.0	2.0	0.0	0.0	0.0	0.0	7.0
énergique	0.0	1.0	2.0	1.0	3.0	0.0	0.0	7.0
quête	0.0	1.0	3.0	0.0	1.0	0.0	2.0	7.0
bézigue	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0
enveloppée	0.0	2.0	2.0	0.0	0.0	0.0	3.0	7.0
regardai	6.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0
s’enfonçaient	0.0	1.0	0.0	0.0	0.0	0.0	6.0	7.0
accepte	0.0	0.0	1.0	0.0	4.0	2.0	0.0	7.0
s’enfermer	0.0	2.0	0.0	1.0	0.0	0.0	4.0	7.0
phare	0.0	0.0	1.0	5.0	1.0	0.0	0.0	7.0
sur-le-champ	0.0	0.0	6.0	1.0	0.0	0.0	0.0	7.0
énergiques	0.0	1.0	1.0	0.0	3.0	0.0	2.0	7.0
surface	0.0	3.0	0.0	4.0	0.0	0.0	0.0	7.0
achevant	0.0	3.0	0.0	0.0	0.0	1.0	3.0	7.0
melon	0.0	0.0	0.0	1.0	0.0	6.0	0.0	7.0
l’eut	0.0	2.0	0.0	0.0	0.0	0.0	5.0	7.0
l’exaspérait	0.0	2.0	0.0	0.0	0.0	0.0	5.0	7.0
dépositions	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0
lambeaux	0.0	3.0	1.0	0.0	0.0	0.0	3.0	7.0
harmonie	0.0	0.0	1.0	0.0	5.0	1.0	0.0	7.0
déroulait	0.0	0.0	1.0	0.0	1.0	0.0	5.0	7.0
vendue	0.0	3.0	0.0	1.0	1.0	1.0	1.0	7.0
vitrée	0.0	1.0	0.0	3.0	0.0	0.0	3.0	7.0
mettrai	0.0	0.0	0.0	0.0	2.0	3.0	2.0	7.0
cavalerie	4.0	0.0	2.0	0.0	1.0	0.0	0.0	7.0
habité	0.0	0.0	1.0	0.0	2.0	0.0	4.0	7.0
tricot	0.0	4.0	0.0	0.0	0.0	3.0	0.0	7.0
questionner	0.0	1.0	2.0	0.0	0.0	0.0	4.0	7.0
suppliant	1.0	1.0	1.0	0.0	1.0	0.0	3.0	7.0
pelle	0.0	2.0	1.0	0.0	0.0	4.0	0.0	7.0
haleines	0.0	1.0	0.0	0.0	0.0	0.0	6.0	7.0
causons	1.0	0.0	2.0	0.0	1.0	1.0	2.0	7.0
désagréables	1.0	0.0	0.0	1.0	2.0	0.0	3.0	7.0
veau	0.0	3.0	0.0	0.0	0.0	4.0	0.0	7.0
supplie	2.0	1.0	2.0	0.0	1.0	1.0	0.0	7.0
amère	0.0	0.0	1.0	2.0	1.0	1.0	2.0	7.0
haletante	0.0	5.0	0.0	1.0	0.0	0.0	1.0	7.0
causerie	3.0	1.0	0.0	0.0	0.0	1.0	2.0	7.0
aspirait	0.0	3.0	1.0	1.0	0.0	0.0	2.0	7.0
salicoques	0.0	1.0	0.0	6.0	0.0	0.0	0.0	7.0
enlèvement	0.0	0.0	0.0	0.0	7.0	0.0	0.0	7.0
garnis	0.0	4.0	1.0	0.0	1.0	0.0	1.0	7.0
blanchisseuse	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0
maternité	0.0	0.0	1.0	0.0	0.0	1.0	5.0	7.0
infini	0.0	2.0	1.0	2.0	2.0	0.0	0.0	7.0
éventails	0.0	2.0	0.0	2.0	0.0	0.0	3.0	7.0
hâtait	0.0	1.0	1.0	0.0	0.0	0.0	5.0	7.0
caressait	0.0	4.0	0.0	1.0	0.0	1.0	1.0	7.0
s’empêcher	0.0	1.0	0.0	0.0	0.0	0.0	6.0	7.0
refait	1.0	0.0	1.0	0.0	0.0	1.0	4.0	7.0
railleur	1.0	1.0	2.0	0.0	3.0	0.0	0.0	7.0
rondes	0.0	0.0	1.0	1.0	0.0	0.0	5.0	7.0
lecanu	0.0	0.0	0.0	7.0	0.0	0.0	0.0	7.0
sauce	2.0	2.0	1.0	0.0	0.0	0.0	2.0	7.0
séduit	0.0	2.0	1.0	2.0	0.0	0.0	2.0	7.0
saluant	0.0	2.0	1.0	0.0	1.0	0.0	3.0	7.0
l’hôpital	0.0	5.0	0.0	0.0	0.0	0.0	2.0	7.0
rougeur	0.0	2.0	0.0	2.0	1.0	0.0	2.0	7.0
l’hôtesse	0.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0
ramenant	0.0	1.0	0.0	1.0	0.0	0.0	5.0	7.0
respirant	0.0	2.0	2.0	0.0	0.0	0.0	3.0	7.0
démon	3.0	1.0	0.0	0.0	3.0	0.0	0.0	7.0
accroché	1.0	4.0	1.0	0.0	0.0	0.0	1.0	7.0
redressant	0.0	0.0	1.0	0.0	4.0	0.0	2.0	7.0
rompu	0.0	1.0	2.0	0.0	3.0	0.0	1.0	7.0
