	Dickens_Cricket_0	Dickens_Cricket_1	Dickens_Cricket_2	Dickens_Cricket_3	Dickens_Cricket_4	Dickens_Cricket_5	Dickens_Cricket_6	Dickens_Cricket_7	Dickens_Cricket_8	Dickens_Cricket_sum
silly_AJ0_silly	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	3.0
instantly_AV0_instantly	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0
giving_VVG_give|giving	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0
shone_VVD_shine	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0
names_NN2_name	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0
stranger_NN1_stranger	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0
third_ORD_third	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0
deserve_VVI_deserve	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0
embrace_NN1_embrace	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	3.0
steady_AJ0_steady	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0
waiting_VVG_wait|waiting	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0
wonderful_AJ0_wonderful	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0
stopping_VVG_stop|stopping	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0
observe_VVI_observe	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0
remarkable_AJ0_remarkable	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0
ways_NN2_way	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0
thoughtless_AJ0_thoughtless	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0
pegs_NN2_peg	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
glanced_VVD_glance	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
Its_DPS_it	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
pulling_VVG_pull|pulling	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0
mention_NN1_mention	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	3.0
reference_NN1_reference	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0
gloves_NN2_glove	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	3.0
touching_VVG_touch|touching	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0
frost_NN1_frost	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0
middle_NN1_middle	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0
unexpected_AJ0_unexpected	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0
answer_NN1_answer	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
clever_AJ0_clever	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0
shoulders_NN2_shoulder	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
emulation_NN1_emulation	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0
alike_AV0_alike	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
intended_AJ0_intended|intend	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	3.0
weak_AJ0_weak	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0
merely_AV0_merely	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	3.0
both_AV0_both	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0
lively_AJ0_lively	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0
spoil_VVI_spoil	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
action_NN1_action	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0
call_VVI_call	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0
especially_AV0_especially	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	3.0
surprising_AJ0_surprising|surprise	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0
shut_VVN_shut	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0
journey_NN1_journey	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	3.0
persons_NN2_person	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0
musing_VVG_muse	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0
twenty_CRD_twenty	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	3.0
CHIRP_NN1_chirp	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0
best_AV0_best	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0
spite_NN1_spite	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
measure_NN1_measure	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0
size_NN1_size	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
Though_CJS_though	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0
brother_NN1_brother	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0
terms_NN2_term	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	3.0
meaning_NN1_mean|meaning	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
excited_AJ0_excited|excite	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0
fear_NN1_fear	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
striking_AJ0_striking|strike	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0
snug_AJ0_snug	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0
louder_AJC_loud	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
genteel_AJ0_genteel	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0
bound_VVN_bind|bound	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0
used_VVN_use|used	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	3.0
rare_AJ0_rare	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0
engagement_NN1_engagement	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0
probably_AV0_probably	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0
sleep_NN1_sleep	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0
lungs_NN2_lung	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0
suggested_VVD_suggest|suggested	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0
mysterious_AJ0_mysterious	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0
tearing_VVG_tear|tearing	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0
length_NN1_length	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0
standing_VVG_stand|standing	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0
silver_NN1_silver	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
trees_NN2_tree	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
wholesome_AJ0_wholesome	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
shawl_NN1_shawl	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
pondering_VVG_ponder	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
light-hearted_AJ0_light-hearted	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
common_AJ0_common	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
flying_VVG_fly|flying	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
sympathy_NN1_sympathy	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0
firm_NN1_firm	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
leaving_VVG_leave|leaving	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
dignity_NN1_dignity	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
monstrous_AJ0_monstrous	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
cheek_NN1_cheek	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
suggestive_AJ0_suggestive	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
kissed_VVD_kiss	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
sorrowing_AJ0_sorrowing	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0
altogether_AV0_altogether	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
gleam_NN1_gleam	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
outer_AJ0_outer	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
fish_NN0_fish	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
revelled_VVD_revel	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
summer_NN1_summer	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
gold_NN1_gold	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
assure_VVB_assure	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
washed_VVD_wash|washed	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0
suspected_VVN_suspect|suspected	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
delighted_AJ0_delighted|delight	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
close_NN1_close	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0
Beasts_NN2_beast	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
Sparkling_AJ0_sparkling|sparkle	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
solemn_AJ0_solemn	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
sly_AJ0_sly	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
Toy_AJ0_toy	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
expressions_NN2_expression	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
faces_NN2_face	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
brown-paper_AJ0_brown-paper	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
Bowl_NN1_bowl	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
potatoes_NN2_potato	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
pigs_NN2_pig	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
putting_VVG_put|putting	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
cards_NN2_card	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
game_NN1_game	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
comfort_VVI_comfort	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
bird_NN1_bird	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
samples_NN2_sample	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
dressed_VVD_dress|dressed	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0
Such_DT0_such	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
represented_VVN_represent	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
novelty_NN1_novelty	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
Goodness_NN1_goodness	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
star_NN1_star	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
vague_AJ0_vague	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
less_DT0_less	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0
Plenty_PNI_plenty	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
dumb_AJ0_dumb	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
stable_NN1_stable	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0
work_VVI_work	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
hedges_NN2_hedge	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
afford_VVI_afford	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
arks_NN2_ark	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
fitted_VVD_fit|fitted	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0
sightless_AJ0_sightless	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
coarse_AJ0_coarse	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
spot_NN1_spot	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
soberly_AV0_soberly	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
cordiality_NN1_cordiality	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
undeniably_AV0_undeniably	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
fallen_VVN_fall|fallen	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
happier_AJC_happy	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0
brightened_VVD_brighten	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
forehead_NN1_forehead	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
doth_VDZ_do	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
season_NN1_season	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
weapon_NN1_weapon	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
marks_NN2_mark	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
seemed_VVN_seem	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
thick_AJ0_thick	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
Anything_PNI_anything	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
blaze_NN1_blaze	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
crisis_NN1_crisis	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
Cash_NN1_cash	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
induce_VVI_induce	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
jolly_AJ0_jolly	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
cash_NN1_cash	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
married_VVD_marry|married	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
fifty_CRD_fifty	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
tiny_AJ0_tiny	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
preserved_VVN_preserve	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
dare_VM0_dare	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
compared_VVN_compare	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
due_AJ0_due	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
bride_NN1_bride	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
dancing_VVG_dance|dancing	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
struggling_AJ0_struggle|struggling	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
pays_VVZ_pay	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
stone_NN1_stone	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
illuminated_VVD_illuminate|illuminated	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
Pretty_AV0_pretty	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
chat_NN1_chat	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
Arks_NN2_ark	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
wished_VVN_wish	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
improve_VVI_improve	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
stronger_AJC_strong	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
adorned_VVN_adorn	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
glow_NN1_glow	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
Hah_ITJ_hah	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
occasion_NN1_occasion	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0
beauty_NN1_beauty	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
laugh_VVB_laugh	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
Him_PNP_he	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
Shall_VM0_shall	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
worthy_AJ0_worthy	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
natural_AJ0_natural	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
struggle_NN1_struggle	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
bit_NN1_bit	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
receiving_VVG_receive|receiving	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
clear_VVI_clear	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
blow_VVB_blow	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
pressed_VVD_press	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0
neither_DT0_neither	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
study_NN1_study	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
glorious_AJ0_glorious	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0
since_AV0_since	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0
threshold_NN1_threshold	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Make_VVB_make	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0
slapped_VVN_slap	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
bits_NN2_bit	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
More_DT0_more	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
hate_VVI_hate	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
respect_NN1_respect	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
mused_VVD_muse	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
moved_VVN_move|moved	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
devil_NN1_devil	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
grace_NN1_grace	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
post_NN1_post	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
cry_VVI_cry	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
unspeakable_AJ0_unspeakable	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
's_VHZ_have	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
sixpence_NN0_sixpence	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
tube_NN1_tube	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
blessed_VVD_bless	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
Hie_VVB_hie	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
daughters_NN2_daughter	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
kick_VVI_kick	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0
death_NN1_death	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0
kissing_VVG_kissing|kiss	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
expressly_AV0_expressly	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
pain_NN1_pain	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0
restored_VVD_restore|restored	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
damage_NN1_damage	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
attitude_NN1_attitude	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
evidently_AV0_evidently	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
seems_VVZ_seem	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
becoming_VVG_become|becoming	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
raw_AJ0_raw	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
defiance_NN1_defiance	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
by-the-bye_NN1_by-the-bye	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
sending_VVG_send|sending	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0
Boxer_NP0_boxer	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
dozen_CRD_dozen	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
dogs_NN2_dog	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
affect_VVB_affect	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
beaming_AJ0_beaming|beam	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
peace_NN1_peace	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
clearer_AJC_clear	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
needlework_NN1_needlework	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
crowd_NN1_crowd	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0
respectable_AJ0_respectable	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
wholly_AV0_wholly	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
Quite_AV0_quite	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
meal_NN1_meal	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
returned_VVN_return	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0
overflowing_AJ0_overflowing|overflow	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0
remorseful_AJ0_remorseful	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0
comes_VVZ_come	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
venerable_AJ0_venerable	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
surface_NN1_surface	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
regarding_VVG_regard	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
correct_AJ0_correct	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
Doll_NN1_doll	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
core_NN1_core	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
midst_NN1_midst	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
stands_VVZ_stand	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
inclining_VVG_incline	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
dimpled_AJ0_dimpled|dimple	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
mantel-shelf_NN1_mantel-shelf	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
try_VVI_try	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0
matches_NN2_match	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
put_VVI_put	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
dreamy_AJ0_dreamy	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
hope_NN1_hope	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0
score_NN1_score	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0
happiest_AJS_happy	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
